,ABV,FG,IBU,OG,SRM,boil_time,boil_time_units,extras,fermentables,hops,link,meets_guidelines,name,style,volume,volume_units,yeast
0,0.040999999999999995,1.01,42,1.041,4,60,min,0,"{0: {'amount': 12.0, 'amount_unit': 'lb', 'name': '2-Row (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'Pale Ale (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 3, 'color_unit': '°L', 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Caramel/Crystal 40L (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 40, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 3.0, 'amount_unit': 'oz', 'name': 'Cascade (US)', 'time': 15, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.07, 'generic': True}, 1: {'amount': 2.5, 'amount_unit': 'oz', 'name': 'Cascade (US)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.07, 'generic': True}, 2: {'amount': 3.0, 'amount_unit': 'oz', 'name': 'Cascade (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.07, 'generic': True}, 3: {'amount': 2.5, 'amount_unit': 'oz', 'name': 'Cascade (US)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.07, 'generic': True}}",http://www.brewtoad.com/recipes/2015-lh-ale,1,2015 LH Ale,Specialty Beer,10.0,gal,"{0: {'name': 'American Ale', 'yeast_lab': 'Wyeast 1056', 'yeast_attenuation': 0.75}}"
1,0.063,1.016,67,1.064,7,60,min,"{0: {'amount': 1.0, 'amount_unit': 'each', 'name': 'Whirlfloc Tablet', 'time': 'min', 'use': 'Mash', 'generic': True}}","{0: {'amount': 9.25, 'amount_unit': 'lb', 'name': '2-Row (US)', 'maltster': 'Rahr', 'use': 'Mash', 'PPG': 38, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Victory (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 28, 'color_unit': '°L', 'generic': True}, 2: {'amount': 0.75, 'amount_unit': 'lb', 'name': 'Aromatic Malt (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 35, 'color': 20, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.4, 'amount_unit': 'lb', 'name': 'Carapils (Dextrine Malt) (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 0, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Northern Brewer (US)', 'time': 60, 'use': 'First Wort', 'form': 'Pellet', 'alpha': 0.09, 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 30, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.1, 'generic': True}, 2: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Chinook (US)', 'time': 30, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.13, 'generic': True}, 3: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 15, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.1, 'generic': True}, 4: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.1, 'generic': True}, 5: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Simcoe (US)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.13, 'generic': True}, 6: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Amarillo (US)', 'time': 0, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.095, 'generic': True}, 7: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 5, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.1, 'generic': True}, 8: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Amarillo (US)', 'time': 5, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.095, 'generic': True}}",http://www.brewtoad.com/recipes/leftovers-ipa-10,1,Leftovers IPA,American IPA,5.0,gal,"{0: {'name': 'Safale US-05', 'yeast_lab': 'Fermentis US-05', 'yeast_attenuation': 0.75}}"
2,0.068,1.015,29,1.067,5,60,min,0,"{0: {'amount': 9.5, 'amount_unit': 'lb', 'name': 'Pilsner (US)', 'maltster': 'Rahr', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Munich - Light 10L (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 35, 'color': 10, 'color_unit': '°L', 'generic': True}, 2: {'amount': 0.66, 'amount_unit': 'lb', 'name': 'Sucrose (Table Sugar)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 47, 'color': 1, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.31, 'amount_unit': 'lb', 'name': 'Biscuit (BE)', 'maltster': 'Castle', 'use': 'Mash', 'PPG': 35, 'color': 23, 'color_unit': '°L', 'generic': True}, 4: {'amount': 0.22, 'amount_unit': 'lb', 'name': 'Melanoidin (DE)', 'maltster': 'Weyermann®', 'use': 'Mash', 'PPG': 37, 'color': 26, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 1.4, 'amount_unit': 'oz', 'name': 'Styrian Golding (SI)', 'time': 60, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.052000000000000005, 'generic': True}, 1: {'amount': 0.7, 'amount_unit': 'oz', 'name': 'Saaz (US)', 'time': 30, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.038, 'generic': True}}",http://www.brewtoad.com/recipes/leffed-out,1,Leffe'd Out,Belgian Blond Ale,5.0,gal,"{0: {'name': 'Abbey Ale Yeast', 'yeast_lab': 'White Labs WLP530', 'yeast_attenuation': 0.775}}"
3,0.066,1.015,28,1.065,30,60,min,"{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Black Pepper', 'time': '5.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 9.0, 'amount_unit': 'lb', 'name': 'Pilsner (DE)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 38, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 1.2, 'amount_unit': 'lb', 'name': 'Rye (US)', 'maltster': 'Any', 'use': 'Boil', 'PPG': 38, 'color': 3, 'color_unit': '°L', 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Cane Sugar', 'maltster': 'Any', 'use': 'Boil', 'PPG': 46, 'color': 0, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.8, 'amount_unit': 'lb', 'name': 'Midnight Wheat Malt (US)', 'maltster': 'Any', 'use': 'Boil', 'PPG': 33, 'color': 550, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Nugget (US)', 'time': 75, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.14300000000000002, 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Hallertauer Tradition (DE)', 'time': 15, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}}",http://www.brewtoad.com/recipes/desade,1,DeSade,Belgian Specialty Ale,5.5,gal,"{0: {'name': 'Abbey Ale Yeast', 'yeast_lab': 'White Labs WLP530', 'yeast_attenuation': 0.775}}"
4,0.043,1.014,28,1.047,35,60,min,0,"{0: {'amount': 3.5, 'amount_unit': 'lb', 'name': '2-Row (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Flaked Oats', 'maltster': 'Any', 'use': 'Boil', 'PPG': 33, 'color': 2, 'color_unit': '°L', 'generic': True}, 2: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Chocolate (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 29, 'color': 350, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Roasted Barley (UK)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 29, 'color': 550, 'color_unit': '°L', 'generic': True}, 4: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Caramel/Crystal 90L (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 33, 'color': 90, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Willamette (US)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.05, 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Willamette (US)', 'time': 15, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.05, 'generic': True}}",http://www.brewtoad.com/recipes/stout-917a3d,1,Stout,Sweet Stout,2.5,gal,"{0: {'name': 'Safale S-04', 'yeast_lab': 'Fermentis S-04', 'yeast_attenuation': 0.7}}"
5,0.066,1.014,49,1.064,7,60,min,"{0: {'amount': 1.0, 'amount_unit': 'tsp', 'name': 'Irish Moss', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 11.0, 'amount_unit': 'lb', 'name': 'Maris Otter Pale (UK)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 38, 'color': 3, 'color_unit': '°L', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Munich - Light 10L (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 33, 'color': 10, 'color_unit': '°L', 'generic': True}, 2: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Honey Malt (CA)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 25, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Warrior (US)', 'time': 60, 'use': 'First Wort', 'form': 'Pellet', 'alpha': 0.16, 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Mosaic™ (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.125, 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Columbus (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.15, 'generic': True}, 3: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'El Dorado (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.16, 'generic': True}, 4: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Mosaic™ (US)', 'time': 0, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.125, 'generic': True}, 5: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'El Dorado (US)', 'time': 0, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.16, 'generic': True}, 6: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Columbus (US)', 'time': 0, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.15, 'generic': True}, 7: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Columbus (US)', 'time': 4, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.15, 'generic': True}, 8: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'El Dorado (US)', 'time': 4, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.16, 'generic': True}, 9: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Mosaic™ (US)', 'time': 4, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.125, 'generic': True}, 10: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'El Dorado (US)', 'time': 30, 'use': 'Whirlpool', 'form': 'Pellet', 'alpha': 0.16, 'generic': True}, 11: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Mosaic™ (US)', 'time': 30, 'use': 'Whirlpool', 'form': 'Pellet', 'alpha': 0.125, 'generic': True}, 12: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Columbus (US)', 'time': 30, 'use': 'Whirlpool', 'form': 'Pellet', 'alpha': 0.15, 'generic': True}}",http://www.brewtoad.com/recipes/maris-ipa-w-el-dorado-columbus-and-mosaic,1,"Maris IPA w/ El Dorado, Columbus and Mosaic",American IPA,5.5,gal,"{0: {'name': 'Vermont Ale', 'yeast_lab': 'The Yeast Bay', 'yeast_attenuation': 0.785}}"
6,0.051,1.013,36,1.052,3,60,min,0,"{0: {'amount': 1.5, 'amount_unit': 'lb', 'name': 'Pilsner (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 0.4, 'amount_unit': 'lb', 'name': 'Vienna (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 35, 'color': 4, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.4, 'amount_unit': 'oz', 'name': 'Hallertau (US)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}, 1: {'amount': 0.1, 'amount_unit': 'oz', 'name': 'Hallertau (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}, 2: {'amount': 0.1, 'amount_unit': 'oz', 'name': 'Hallertau (US)', 'time': 10, 'use': 'Whirlpool', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}}",http://www.brewtoad.com/recipes/it-s-a-big-lawn,1,It's a BIG Lawn,Classic American Pilsner,1.0,gal,"{0: {'name': 'Pilsner Lager Yeast', 'yeast_lab': 'White Labs WLP800', 'yeast_attenuation': 0.745}}"
7,0.077,1.02,19,1.079,12,60,min,"{0: {'amount': 12.0, 'amount_unit': 'each', 'name': 'Allspice', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}, 1: {'amount': 6.0, 'amount_unit': 'each', 'name': 'Cinnamon (Ground)', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'tsp', 'name': 'Nutmeg (Ground)', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}, 3: {'amount': 1.0, 'amount_unit': 'each', 'name': 'Whirlfloc Tablet', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 24.0, 'amount_unit': 'lb', 'name': '2-Row (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'CaraMunich I (DE)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 39, 'color_unit': '°L', 'generic': True}, 2: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'Rye (US)', 'maltster': 'Any', 'use': 'Boil', 'PPG': 38, 'color': 3, 'color_unit': '°L', 'generic': True}, 3: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'Munich - Light 10L (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 33, 'color': 10, 'color_unit': '°L', 'generic': True}, 4: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Red Wheat (US)', 'maltster': 'Any', 'use': 'Boil', 'PPG': 38, 'color': 2, 'color_unit': '°L', 'generic': True}, 5: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Pale Chocolate (UK)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 33, 'color': 207, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Hallertauer Mittelfrüh (DE)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.042, 'generic': True}, 1: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Hallertauer Mittelfrüh (DE)', 'time': 30, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.042, 'generic': True}}",http://www.brewtoad.com/recipes/mr-heat-miser,1,Mr. Heat Miser,Christmas/Winter Specialty Spiced Beer,11.0,gal,"{0: {'name': 'German Ale/Kölsch Yeast', 'yeast_lab': 'White Labs WLP029', 'yeast_attenuation': 0.75}}"
8,0.066,1.018,72,1.068,8,60,min,0,"{0: {'amount': 6.0, 'amount_unit': 'lb', 'name': 'Pale 2-Row (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 36, 'color': 2, 'color_unit': '°L', 'generic': True}, 1: {'amount': 6.0, 'amount_unit': 'lb', 'name': 'Pilsner (BE)', 'maltster': 'Castle', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 2: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'CaraMunich (BE)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 33, 'color': 75, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 60, 'use': 'First Wort', 'form': 'Pellet', 'alpha': 0.055, 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Chinook (US)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.13, 'generic': True}, 2: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Columbus (US)', 'time': 40, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.154, 'generic': True}, 3: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.055, 'generic': True}}",http://www.brewtoad.com/recipes/untitled-belgian-specialty-ale-22,1,Untitled Belgian Specialty Ale,Belgian Specialty Ale,5.0,gal,"{0: {'name': 'Belgian Ardennes', 'yeast_lab': 'Wyeast 3522', 'yeast_attenuation': 0.74}}"
9,0.055,1.014,25,1.056,9,60,min,"{0: {'amount': 1.0, 'amount_unit': 'each', 'name': 'Yeast Nutrient (Wyeast)', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'each', 'name': 'Whirlfloc Tablet', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 3.7, 'amount_unit': 'lb', 'name': 'Munich Light (DE)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 6, 'color_unit': '°L', 'generic': True}, 1: {'amount': 3.7, 'amount_unit': 'lb', 'name': 'Pilsner (DE)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 38, 'color': 1, 'color_unit': '°L', 'generic': True}, 2: {'amount': 2.8, 'amount_unit': 'lb', 'name': 'Vienna (DE)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 4, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.8, 'amount_unit': 'lb', 'name': 'CaraMunich III (DE)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 57, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 1.5, 'amount_unit': 'oz', 'name': 'Hallertau (DE)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Hallertau (DE)', 'time': 20, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}}",http://www.brewtoad.com/recipes/first-time-octoberfest,1,First Time Octoberfest,Oktoberfest/Märzen,5.5,gal,"{0: {'name': 'Bavarian Lager', 'yeast_lab': 'Wyeast 2206', 'yeast_attenuation': 0.75}}"
